Date,Close/Last,Volume,Open,High,Low
11/22/2022,$154.58,2124751,$154.10,$155.145,$153.285
11/21/2022,$152.81,2003541,$152.25,$153.46,$151.89
11/18/2022,$152.50,2631321,$152.25,$153.76,$150.9375
11/17/2022,$150.64,2769983,$150.00,$151.0623,$149.22
11/16/2022,$152.57,2635283,$154.21,$155.91,$151.854
11/15/2022,$153.89,2917022,$156.96,$157.35,$152.32
11/14/2022,$154.13,3666615,$153.37,$156.50,$153.06
11/11/2022,$154.89,3714598,$156.49,$158.88,$154.70
11/10/2022,$154.75,4701614,$152.79,$155.79,$151.31
11/09/2022,$145.86,2425496,$149.47,$149.47,$145.66
11/08/2022,$150.20,3846057,$147.44,$151.34,$147.1375
11/07/2022,$146.98,2917984,$146.20,$147.54,$143.76
11/04/2022,$144.72,3322250,$142.40,$146.356,$141.00
11/03/2022,$139.31,3960528,$141.09,$142.20,$138.77
11/02/2022,$143.50,2852089,$146.58,$149.03,$143.3701
11/01/2022,$147.08,2675699,$149.96,$150.63,$146.63
10/31/2022,$148.45,3043149,$150.00,$150.30,$148.32
10/28/2022,$150.44,3383315,$146.56,$150.91,$146.05
10/27/2022,$146.97,2101525,$148.44,$149.71,$146.41
10/26/2022,$146.88,3560551,$147.56,$149.50,$146.47
10/25/2022,$147.02,3889104,$142.48,$147.44,$141.60
10/24/2022,$141.63,4299569,$141.30,$143.79,$140.37
10/21/2022,$140.04,11755400,$140.99,$141.32,$132.21
10/20/2022,$142.42,4319336,$144.00,$147.315,$142.15
10/19/2022,$143.97,2804054,$145.43,$147.07,$142.60
10/18/2022,$145.99,3963269,$146.13,$147.05,$143.55
10/17/2022,$141.54,3139254,$140.58,$142.22,$140.09
10/14/2022,$136.81,3873599,$142.96,$143.88,$136.14
10/13/2022,$141.55,5232724,$131.35,$142.55,$130.65
10/12/2022,$136.74,2397555,$137.31,$138.45,$136.11
10/11/2022,$137.35,2588904,$136.37,$139.21,$135.39
10/10/2022,$137.51,2893409,$140.01,$140.38,$136.65
10/07/2022,$139.00,2579628,$140.42,$141.29,$138.08
10/06/2022,$142.38,2526239,$143.05,$145.06,$142.13
10/05/2022,$144.37,2073878,$142.92,$145.29,$142.08
10/04/2022,$145.46,2408884,$143.03,$145.55,$143.03
10/03/2022,$140.02,2677118,$137.95,$140.77,$134.92
